dump mydmp all atom 15000 dump.lammpstrj

#Equilibrate (all WCA)
velocity all create 236.51 1337 #Set the temperature to 236.51 K
fix 1 all nvt temp 236.51 236.51 100 #use a nose-hoover thermostat to keep the temperature at 236.51 K
timestep 0.1
thermo 1000
run 10000000
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 1 steps, delay 1 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12.48
  ghost atom cutoff = 12.48
  binsize = 6.24, bins = 85 85 85
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 5.76 | 5.785 | 7.227 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
    283000   235.35223      13.072027      1340.4649      4720.2288      0.26550892   
    284000   231.62831      14.732376      1325.4836      4653.6375      0.77810765   
    285000   233.36328      12.476051      1253.9048      4604.621       0.70517365   
    286000   239.3811       12.195199      1185.1319      4621.6515      0.32700604   
    287000   242.69294      9.6600013      1168.3451      4649.7053      0.76579376   
    288000   245.61538      11.533535      1136.142       4661.1808      0.97748192   
    289000   245.05586      10.797387      1133.5054      4649.8042      0.33728408   
    290000   244.14642      7.1782065      1137.7848      4637.455       0.50253959   
    291000   241.74676      7.2622218      1156.758       4622.1852      0.75296846   
    292000   238.74466      8.3822831      1171.7987      4595.4013      0.70405935   
    293000   234.89582      9.8529718      1226.3075      4596.3234      0.14601518   
    294000   233.75953      9.5007465      1302.7062      4656.1154      0.055273544  
    295000   234.43565      12.625696      1333.3588      4699.5647      0.32678768   
    296000   228.88745      16.818052      1357.2857      4648.3174      0.11661252   
    297000   225.90498      16.221513      1332.0968      4579.8682      0.19394856   
    298000   226.19926      16.026822      1352.6129      4604.3992     -0.14858698   
    299000   229.82159      17.863906      1359.1775      4664.6179     -0.44714161   
    300000   233.0655       11.951154      1313.419       4659.3506     -0.13369785   
    301000   235.55784      10.485876      1253.9761      4634.0952     -0.12840747   
    302000   237.19867      9.4171258      1206.1171      4608.6393     -0.023552808  
    303000   240.98594      13.136333      1161.5779      4621.9958     -0.28185306   
    304000   245.89132      9.1410617      1165.2179      4691.8115     -0.65029095   
    305000   249.17403      6.544957       1122.8868      4693.8432      0.0025801713 
    306000   243.98494      7.8810857      1140.1173      4638.1804      0.095870265  
    307000   240.82856      9.2264188      1165.8236      4620.0803     -0.10943552   
    308000   240.96817      10.574986      1183.2828      4640.8851     -0.31162097   
    309000   240.8464       10.120436      1213.4973      4668.9032     -0.060747055  
    310000   233.06743      12.979994      1303.7266      4650.7146      0.19787834   
    311000   226.75516      12.090706      1318.7479      4574.5501      0.05934705   
    312000   224.51487      5.0040805      1361.1704      4577.8389     -0.16805402   
    313000   229.64469      3.7172996      1365.25        4654.0134      0.35711738   
    314000   230.49313      4.459947       1366.4941      4668.1369      0.29987079   
    315000   231.02751      2.9644796      1337.6856      4645.4772      0.34459308   
    316000   232.19886      4.2745005      1290.9238      4616.7815      0.15208738   
    317000   233.83889      5.5016207      1268.5546      4619.0999      0.58016092   
    318000   243.40209      6.6813613      1221.1714      4709.6971      0.81253219   
    319000   245.68574      5.9025562      1174.0723      4694.4867      0.36850246   
    320000   243.03953      8.4032783      1139.4857      4624.547       0.66806244   
    321000   242.95997      7.3680908      1121.7557      4604.6437      0.71397566   
    322000   244.59452      7.4945029      1135.0718      4641.4683      0.61247962   
    323000   244.14443      7.0754976      1166.3655      4665.9044      0.3533516    
    324000   242.42425      3.9688007      1191.9996      4663.8249      0.41936995   
    325000   236.50163      6.2701184      1242.783       4632.1871      0.60216645   
    326000   234.67445      4.7596122      1249.4803      4611.2362      0.33449186   
    327000   230.61551      6.2339516      1350.907       4656.0744      0.056072605  
    328000   233.81838      7.091944       1363.9958      4715.838       0.099669056  
    329000   229.29057      7.5429235      1379.1788      4666.702       0.058834793  
    330000   227.53986      4.5246322      1351.7135      4611.1748     -0.25650642   
    331000   226.61291      3.8504935      1361.7005      4607.2277      0.094289691  
    332000   235.55567      5.3768951      1301.4475      4676.4265     -0.39778577   
    333000   242.16981      2.6690513      1299.8247      4766.7105     -0.26770889   
    334000   245.09392      1.8877926      1266.1752      4774.1088     -0.22763705   
    335000   244.5865       1.7140824      1179.0704      4679.5718     -0.20174534   
    336000   241.87556      2.9169369      1164.2941      4627.2186     -0.12660733   
    337000   243.22058      5.1214287      1135.4304      4619.7997     -0.53429326   
    338000   244.6824       5.3024436      1149.3958      4654.8574     -0.18049811   
    339000   247.39618      5.2620702      1163.377       4707.6186      0.04129536   
    340000   244.27897      6.3141979      1176.7543      4677.4565      0.053090128  
    341000   232.36371      7.2642318      1243.8664      4575.0719     -0.27397337   
    342000   232.23135      5.1901085      1272.597       4599.8351     -0.066334407  
    343000   234.80955      5.3231339      1302.2798      4666.5319      0.1324577    
    344000   232.58069      5.5532518      1343.5866      4676.1851      0.23711332   
    345000   230.49411      3.3766722      1348.5817      4649.1553      0.0101263    
    346000   228.94299      5.4215381      1342.5779      4623.0078      0.35225592   
    347000   229.55997      5.6684771      1355.7668      4645.2694      0.22064121   
    348000   237.91485      4.5479733      1329.7687      4737.6666      0.35306833   
    349000   236.89979      5.9803382      1290.1359      4684.9458      0.45149967   
    350000   235.55071      5.9852169      1236.4865      4612.0028      0.82390046   
    351000   238.88187      6.9589816      1190.812       4614.954       0.15287213   
